theta1,theta2
131.550317378041,231.571700317408
137.974414710472,234.587968614835
136.205627265103,233.224282496214
136.889291034661,240.27296612944
136.770530339158,247.186369808679
137.275269169509,254.337798732034
138.739752242139,261.920899521927
141.276160740867,270.067295418205
145.034700613811,278.919065717579
150.198956394668,288.622994613366
156.960754370592,299.307763473482
165.739570609077,311.060606860069
176.630747206818,323.526050445696
188.428706308405,336.322028196191
201.167302750643,348.532328115245
213.793286223456,359.626802636008
225.719624209215,8.68414155126914
236.518610996622,15.5320819281508
246.279892699952,20.7227247912074
255.436216444612,25.3000556799236
263.875010227118,28.5590056775798
271.725254557567,30.6945869194829
279.272415525332,32.5060389158147
286.662963151971,34.3489263191733
293.786234967352,35.2149002649095
300.813734030342,35.9012267339162
307.773970832974,36.3091895194656
314.761228276103,35.7473985530794
321.900198194602,34.446074438372
328.362264938326,35.1800294521957
331.198382813507,40.5045616567374
332.832862279991,46.7535959118401
336.744864525833,51.5517496825245
342.218735635821,53.3829368896462
349.785716167314,50.7630096265167
357.231799317964,49.6972725234204
4.31106284080338,49.5160968852983
11.509262602362,49.1872081572559
17.4803607864786,50.2695781845682
22.3380581996944,52.608578445859
27.0858322696638,55.0226148368507
29.6096135585346,59.6348383100665
30.3826118656293,65.9267592600991
30.52232373536,72.772878548761
30.2596820428809,79.908913501863
29.7106890834906,87.1771321380463
28.9108942978838,94.4781328549026
28.028586238219,101.698774630918
27.7928360278635,108.702055594333
27.6707054580143,115.675788160593
28.8565010124014,122.546934480894
32.4676525102161,128.771338642306
38.0026943103516,133.598682802998
44.1088696532771,137.450533625199
50.4880676629033,140.427407448434
56.9066843704192,142.897525378933
63.2377884934443,145.199860754362
69.4676266990585,147.399012113636
75.5802701218597,149.557909088203
81.5413374882411,151.750325803889
87.06263398097,154.429003953746
92.1587945000061,157.540574340924
96.6638119784008,161.259970748144
100.024308168147,166.080713784769
102.013862216514,172.038425395904
104.707365353783,177.647162483215
107.775973025724,183.10029206642
111.336459562945,188.279045467725
116.232025339366,192.211821140229
121.128953063785,196.073129353911
126.511428640873,199.221105780755
132.376149346503,201.513729967894
137.46210640257,204.703026234318
141.902317895464,208.592514223598
145.967489274628,212.859112183747
149.971134055215,217.200216411432
153.345844974093,222.139873745475
156.045746964496,227.699393751009
158.448528364881,233.578212193499
160.85005103802,239.590068358384
163.554653545711,245.568554201408
167.077786697576,251.15992956486
171.043653401951,256.530703135936
175.216979712103,261.820481421514
179.573731665319,267.02717013911
184.210366703014,272.030984437539
188.87394033067,277.021486852014
193.610671250548,281.980233822529
198.579409400991,286.704910342404
203.641227821676,291.298367570955
208.671891019245,295.885716149853
213.675276796352,300.470027875865
218.963125037908,304.664094781626
224.360769930575,308.609523504043
229.496640281905,312.773891936286
234.332900089165,317.223024776633
238.817726837592,322.024147339059
243.166290597788,326.988134335074
247.214377363328,332.260424173068
251.38686646687,337.520536693434
256.002708938694,342.440359903019
260.653378835462,347.344288501491
265.273766792267,352.301381494314
270.025272422665,357.151276765049
275.017712388047,1.74065840017144
280.062115569436,6.23300053160228
285.207389573205,10.5557922437976
290.56947441306,14.5227889839222
296.105274340091,18.117748360501
301.566765843055,21.6646691561814
307.011362108448,25.0901974860367
312.503801919957,28.3009032110304
318.099759092629,31.2039314372535
321.900198194602,34.446074438372
304.126820340282,113.636890871228
270.906251302302,85.6529443815118
230.133904239303,41.3614012729141
263.08436488486,70.8063531419448
287.273357870263,92.1359921541474
304.126820340282,113.636890871228
292.312376837346,79.2390681268065
300.881905910607,81.9343343389571
296.160238269672,73.0625080228232
288.05237967306,64.2610398551077
285.983560893558,68.8909894584126
292.312376837346,79.2390681268065
19.3139680570516,57.9453923475913
15.4419686028342,67.1167582782916
11.5193659326072,75.4155954903384
8.11759283633566,82.8959987379957
3.82310614466197,89.2060378943465
358.837038869306,94.1032815726061
352.518495044365,96.2631651163713
345.322767502981,95.6004303226519
337.692104452324,92.8042873749582
329.902277843702,88.2645213491845
323.14423088032,81.4005685082798
321.078146789488,73.8149700507862
322.514827117162,67.3932055588766
326.613673949604,62.4022164809317
332.807047922835,59.2852523659525
339.804956700403,57.0490436272855
347.090328021482,55.8042863797466
354.473362295237,54.8683873154434
1.97940121948577,53.96479491281
8.94664008595213,54.0576393444696
15.9416967863327,54.1086493871307
19.3139680570516,57.9453923475913
8.53883875671868,54.6989712368625
7.75964098503977,61.8899440672475
2.65108935769122,69.7509931860296
357.18757806993,75.9452981153394
351.123610276844,80.1055874091709
344.542343855794,81.6544603478567
341.597537369614,75.1974520498297
341.775782957671,68.2396111440076
345.107854389198,61.614430523608
354.473362295237,54.8683873154434
5.11876355743129,58.342476034764
2.92624444650605,65.8359022767854
0.549731865978506,64.6824264941035
5.11876355743129,58.342476034764
87.6775162528605,175.558085441344
92.6374525165731,180.210657037524
96.3760651649875,185.953549630767
99.1227617786823,192.403534982428
101.174901548433,199.249570189375
102.537881677546,206.310575968516
101.969622642044,213.039733747392
99.7728989088892,218.759568994852
96.2566137895273,223.136574755983
90.7152711835412,225.060242062652
84.2573512274393,225.714566024424
75.0256856035555,222.631653255981
62.1134941381881,213.94110677122
47.1655856301268,200.084937318854
35.0736947439779,185.502644706769
29.4042783546939,174.454584455545
28.238620644464,166.63813652789
30.5581776767662,161.514405855231
35.0717644522484,158.311380162941
41.3518355093736,157.128522631377
48.1977430994114,157.093372170316
55.4187994033908,159.732624479006
62.3500114444648,162.821435474842
69.0897339180392,165.841474717314
75.7330124058325,168.544590157004
82.0044926553788,171.660951953529
87.6775162528605,175.558085441344
87.6014077538019,196.539528005945
82.0797186351218,190.007939856537
75.7055133006451,184.260742231704
68.7131758348073,179.202439087048
61.0967370329692,175.304418093703
53.1620645916786,172.529369204675
45.260717315788,170.829904509593
39.549212205077,172.283250868842
43.6415057086414,181.711162878983
52.4867564381605,192.561769329858
63.273510737156,200.98460554179
72.5972179324648,204.84687804372
79.7085607666282,204.815413426844
85.0431871662174,202.104306826947
87.6014077538019,196.539528005945
66.6433399409675,180.937841294648
60.7623633413368,181.229049023329
52.4585353219662,176.983683623902
59.0321518302342,176.83105066717
66.6433399409675,180.937841294648